task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",9,8,9,10,10,10,10,10,10,2,9,10,2,"A trained corpus linguist can perform Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off), but the workload and annotation burden justify a feasibility score of 9.","Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) when corpora and parameters are provided, yielding a current replaceability score of 9.","Expected gains in language modelling, parsing, and corpus tooling should make Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) more automatable, so the ten-year score is 10.","With ideal corpora, metadata, and validation signals, Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) has an upper-bound AI replaceability score of 10.","Published descriptions of Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) can be converted into executable steps to the extent reflected by a score of 10.","The literature for Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 10.","Given fixed inputs and settings, Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) end-to-end with tool-chain maturity scored at 10.","Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 2.","Replication of Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 9.","Parameters in Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) can be varied systematically for sensitivity analysis with robustness tractability scored at 10.","Auditing AI output for Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off) would require human effort at the level represented by a verification-cost score of 2."
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,7,8,9,10,9,8,10,7,3,8,9,3,"A trained corpus linguist can perform BIC-based keyword ranking (BIC as association measure), but the workload and annotation burden justify a feasibility score of 8.","BIC-based keyword ranking (BIC as association measure) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 7.","Today's AI can automate much of BIC-based keyword ranking (BIC as association measure) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make BIC-based keyword ranking (BIC as association measure) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, BIC-based keyword ranking (BIC as association measure) has an upper-bound AI replaceability score of 10.",Published descriptions of BIC-based keyword ranking (BIC as association measure) can be converted into executable steps to the extent reflected by a score of 9.,"The literature for BIC-based keyword ranking (BIC as association measure) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, BIC-based keyword ranking (BIC as association measure) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support BIC-based keyword ranking (BIC as association measure) end-to-end with tool-chain maturity scored at 7.",BIC-based keyword ranking (BIC as association measure) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of BIC-based keyword ranking (BIC as association measure) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in BIC-based keyword ranking (BIC as association measure) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for BIC-based keyword ranking (BIC as association measure) would require human effort at the level represented by a verification-cost score of 3.
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",8,8,8,9,10,8,8,9,9,3,8,9,3,"A trained corpus linguist can perform Multi-word keyword / n-gram keyness (bigrams or trigrams), but the workload and annotation burden justify a feasibility score of 8.","Multi-word keyword / n-gram keyness (bigrams or trigrams) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Multi-word keyword / n-gram keyness (bigrams or trigrams) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make Multi-word keyword / n-gram keyness (bigrams or trigrams) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Multi-word keyword / n-gram keyness (bigrams or trigrams) has an upper-bound AI replaceability score of 10.",Published descriptions of Multi-word keyword / n-gram keyness (bigrams or trigrams) can be converted into executable steps to the extent reflected by a score of 8.,"The literature for Multi-word keyword / n-gram keyness (bigrams or trigrams) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Multi-word keyword / n-gram keyness (bigrams or trigrams) produces repeatable outputs to the degree indicated by a determinism score of 9.","Existing corpus, NLP, or statistical software can support Multi-word keyword / n-gram keyness (bigrams or trigrams) end-to-end with tool-chain maturity scored at 9.",Multi-word keyword / n-gram keyness (bigrams or trigrams) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of Multi-word keyword / n-gram keyness (bigrams or trigrams) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in Multi-word keyword / n-gram keyness (bigrams or trigrams) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Multi-word keyword / n-gram keyness (bigrams or trigrams) would require human effort at the level represented by a verification-cost score of 3.
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",7,8,7,9,10,7,7,7,8,5,7,8,4,"A trained corpus linguist can perform Semantic category keyword clustering (e.g., post-hoc USAS tagging), but the workload and annotation burden justify a feasibility score of 7.","Semantic category keyword clustering (e.g., post-hoc USAS tagging) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Semantic category keyword clustering (e.g., post-hoc USAS tagging) when corpora and parameters are provided, yielding a current replaceability score of 7.","Expected gains in language modelling, parsing, and corpus tooling should make Semantic category keyword clustering (e.g., post-hoc USAS tagging) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Semantic category keyword clustering (e.g., post-hoc USAS tagging) has an upper-bound AI replaceability score of 10.","Published descriptions of Semantic category keyword clustering (e.g., post-hoc USAS tagging) can be converted into executable steps to the extent reflected by a score of 7.","The literature for Semantic category keyword clustering (e.g., post-hoc USAS tagging) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 7.","Given fixed inputs and settings, Semantic category keyword clustering (e.g., post-hoc USAS tagging) produces repeatable outputs to the degree indicated by a determinism score of 7.","Existing corpus, NLP, or statistical software can support Semantic category keyword clustering (e.g., post-hoc USAS tagging) end-to-end with tool-chain maturity scored at 8.","Semantic category keyword clustering (e.g., post-hoc USAS tagging) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 5.","Replication of Semantic category keyword clustering (e.g., post-hoc USAS tagging) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 7.","Parameters in Semantic category keyword clustering (e.g., post-hoc USAS tagging) can be varied systematically for sensitivity analysis with robustness tractability scored at 8.","Auditing AI output for Semantic category keyword clustering (e.g., post-hoc USAS tagging) would require human effort at the level represented by a verification-cost score of 4."
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",8,8,8,9,10,8,8,9,9,4,8,9,3,"A trained corpus linguist can perform Diachronic keyword comparison (keyness across two time periods), but the workload and annotation burden justify a feasibility score of 8.","Diachronic keyword comparison (keyness across two time periods) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Diachronic keyword comparison (keyness across two time periods) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make Diachronic keyword comparison (keyness across two time periods) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Diachronic keyword comparison (keyness across two time periods) has an upper-bound AI replaceability score of 10.",Published descriptions of Diachronic keyword comparison (keyness across two time periods) can be converted into executable steps to the extent reflected by a score of 8.,"The literature for Diachronic keyword comparison (keyness across two time periods) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Diachronic keyword comparison (keyness across two time periods) produces repeatable outputs to the degree indicated by a determinism score of 9.","Existing corpus, NLP, or statistical software can support Diachronic keyword comparison (keyness across two time periods) end-to-end with tool-chain maturity scored at 9.",Diachronic keyword comparison (keyness across two time periods) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 4.,"Replication of Diachronic keyword comparison (keyness across two time periods) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in Diachronic keyword comparison (keyness across two time periods) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Diachronic keyword comparison (keyness across two time periods) would require human effort at the level represented by a verification-cost score of 3.
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",9,8,9,10,10,10,10,10,10,2,9,10,2,"A trained corpus linguist can perform MI-based collocation with fixed window (±3 span, explicit frequency threshold), but the workload and annotation burden justify a feasibility score of 9.","MI-based collocation with fixed window (±3 span, explicit frequency threshold) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of MI-based collocation with fixed window (±3 span, explicit frequency threshold) when corpora and parameters are provided, yielding a current replaceability score of 9.","Expected gains in language modelling, parsing, and corpus tooling should make MI-based collocation with fixed window (±3 span, explicit frequency threshold) more automatable, so the ten-year score is 10.","With ideal corpora, metadata, and validation signals, MI-based collocation with fixed window (±3 span, explicit frequency threshold) has an upper-bound AI replaceability score of 10.","Published descriptions of MI-based collocation with fixed window (±3 span, explicit frequency threshold) can be converted into executable steps to the extent reflected by a score of 10.","The literature for MI-based collocation with fixed window (±3 span, explicit frequency threshold) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 10.","Given fixed inputs and settings, MI-based collocation with fixed window (±3 span, explicit frequency threshold) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support MI-based collocation with fixed window (±3 span, explicit frequency threshold) end-to-end with tool-chain maturity scored at 10.","MI-based collocation with fixed window (±3 span, explicit frequency threshold) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 2.","Replication of MI-based collocation with fixed window (±3 span, explicit frequency threshold) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 9.","Parameters in MI-based collocation with fixed window (±3 span, explicit frequency threshold) can be varied systematically for sensitivity analysis with robustness tractability scored at 10.","Auditing AI output for MI-based collocation with fixed window (±3 span, explicit frequency threshold) would require human effort at the level represented by a verification-cost score of 2."
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",9,8,9,10,10,9,9,10,9,2,9,10,2,"A trained corpus linguist can perform Log-Dice collocation ranking (±5 span), but the workload and annotation burden justify a feasibility score of 9.","Log-Dice collocation ranking (±5 span) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Log-Dice collocation ranking (±5 span) when corpora and parameters are provided, yielding a current replaceability score of 9.","Expected gains in language modelling, parsing, and corpus tooling should make Log-Dice collocation ranking (±5 span) more automatable, so the ten-year score is 10.","With ideal corpora, metadata, and validation signals, Log-Dice collocation ranking (±5 span) has an upper-bound AI replaceability score of 10.",Published descriptions of Log-Dice collocation ranking (±5 span) can be converted into executable steps to the extent reflected by a score of 9.,"The literature for Log-Dice collocation ranking (±5 span) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 9.","Given fixed inputs and settings, Log-Dice collocation ranking (±5 span) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support Log-Dice collocation ranking (±5 span) end-to-end with tool-chain maturity scored at 9.",Log-Dice collocation ranking (±5 span) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 2.,"Replication of Log-Dice collocation ranking (±5 span) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 9.",Parameters in Log-Dice collocation ranking (±5 span) can be varied systematically for sensitivity analysis with robustness tractability scored at 10.,Auditing AI output for Log-Dice collocation ranking (±5 span) would require human effort at the level represented by a verification-cost score of 2.
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",8,7,9,10,10,9,8,10,8,3,8,9,3,"A trained corpus linguist can perform Asymmetric window collocation (e.g., L3R1 non-symmetric span), but the workload and annotation burden justify a feasibility score of 8.","Asymmetric window collocation (e.g., L3R1 non-symmetric span) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 7.","Today's AI can automate much of Asymmetric window collocation (e.g., L3R1 non-symmetric span) when corpora and parameters are provided, yielding a current replaceability score of 9.","Expected gains in language modelling, parsing, and corpus tooling should make Asymmetric window collocation (e.g., L3R1 non-symmetric span) more automatable, so the ten-year score is 10.","With ideal corpora, metadata, and validation signals, Asymmetric window collocation (e.g., L3R1 non-symmetric span) has an upper-bound AI replaceability score of 10.","Published descriptions of Asymmetric window collocation (e.g., L3R1 non-symmetric span) can be converted into executable steps to the extent reflected by a score of 9.","The literature for Asymmetric window collocation (e.g., L3R1 non-symmetric span) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Asymmetric window collocation (e.g., L3R1 non-symmetric span) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support Asymmetric window collocation (e.g., L3R1 non-symmetric span) end-to-end with tool-chain maturity scored at 8.","Asymmetric window collocation (e.g., L3R1 non-symmetric span) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.","Replication of Asymmetric window collocation (e.g., L3R1 non-symmetric span) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.","Parameters in Asymmetric window collocation (e.g., L3R1 non-symmetric span) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.","Auditing AI output for Asymmetric window collocation (e.g., L3R1 non-symmetric span) would require human effort at the level represented by a verification-cost score of 3."
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",7,8,7,9,10,7,7,8,8,5,7,8,4,"A trained corpus linguist can perform Collocational profile comparison across registers, but the workload and annotation burden justify a feasibility score of 7.","Collocational profile comparison across registers addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Collocational profile comparison across registers when corpora and parameters are provided, yielding a current replaceability score of 7.","Expected gains in language modelling, parsing, and corpus tooling should make Collocational profile comparison across registers more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Collocational profile comparison across registers has an upper-bound AI replaceability score of 10.",Published descriptions of Collocational profile comparison across registers can be converted into executable steps to the extent reflected by a score of 7.,"The literature for Collocational profile comparison across registers reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 7.","Given fixed inputs and settings, Collocational profile comparison across registers produces repeatable outputs to the degree indicated by a determinism score of 8.","Existing corpus, NLP, or statistical software can support Collocational profile comparison across registers end-to-end with tool-chain maturity scored at 8.",Collocational profile comparison across registers requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 5.,"Replication of Collocational profile comparison across registers can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 7.",Parameters in Collocational profile comparison across registers can be varied systematically for sensitivity analysis with robustness tractability scored at 8.,Auditing AI output for Collocational profile comparison across registers would require human effort at the level represented by a verification-cost score of 4.
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",7,7,7,9,10,7,7,8,7,5,7,8,4,"A trained corpus linguist can perform Second-order collocation (collocation of collocates), but the workload and annotation burden justify a feasibility score of 7.","Second-order collocation (collocation of collocates) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 7.","Today's AI can automate much of Second-order collocation (collocation of collocates) when corpora and parameters are provided, yielding a current replaceability score of 7.","Expected gains in language modelling, parsing, and corpus tooling should make Second-order collocation (collocation of collocates) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Second-order collocation (collocation of collocates) has an upper-bound AI replaceability score of 10.",Published descriptions of Second-order collocation (collocation of collocates) can be converted into executable steps to the extent reflected by a score of 7.,"The literature for Second-order collocation (collocation of collocates) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 7.","Given fixed inputs and settings, Second-order collocation (collocation of collocates) produces repeatable outputs to the degree indicated by a determinism score of 8.","Existing corpus, NLP, or statistical software can support Second-order collocation (collocation of collocates) end-to-end with tool-chain maturity scored at 7.",Second-order collocation (collocation of collocates) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 5.,"Replication of Second-order collocation (collocation of collocates) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 7.",Parameters in Second-order collocation (collocation of collocates) can be varied systematically for sensitivity analysis with robustness tractability scored at 8.,Auditing AI output for Second-order collocation (collocation of collocates) would require human effort at the level represented by a verification-cost score of 4.
